week_ending,business_unit,region,product_family,bookings_usd,backlog_usd,on_time_pct,open_quotes
2026-08-21,Con Forms,North America,Concrete forms,194000,433025,92.7,18
2026-08-21,Con Forms,North America,Formwork rental,534000,1112915,91.4,28
2026-08-21,Con Forms,North America,Accessories,366000,609181,89.0,36
2026-08-21,Con Forms,Europe,Concrete forms,280000,523653,92.8,6
2026-08-21,Con Forms,Europe,Formwork rental,425000,989127,91.4,11
2026-08-21,Con Forms,Europe,Accessories,607000,1291980,97.1,18
2026-08-21,Tricon,North America,Wear plate,487599,1126945,92.3,27
2026-08-21,Tricon,North America,Fabrication,257599,577193,97.7,31
2026-08-21,Tricon,North America,Pipe,479549,921268,97.5,16
2026-08-21,Tricon,India,Wear plate,267000,639328,88.3,35
2026-08-21,Tricon,India,Fabrication,592000,1257814,94.1,36
2026-08-21,Tricon,India,Pipe,516000,1212586,89.6,14
2026-08-21,CFI Corporate,North America,Services,190000,306164,97.7,12
2026-08-28,Con Forms,North America,Concrete forms,475940,1046876,89.4,18
2026-08-28,Con Forms,North America,Formwork rental,638120,1467117,88.3,19
2026-08-28,Con Forms,North America,Accessories,348740,697804,95.6,26
2026-08-28,Con Forms,Europe,Concrete forms,330720,673174,96.3,9
2026-08-28,Con Forms,Europe,Formwork rental,591480,1113772,92.6,39
2026-08-28,Con Forms,Europe,Accessories,418700,946978,96.8,14
2026-08-28,Tricon,North America,Wear plate,574944,989748,93.1,34
2026-08-28,Tricon,North America,Fabrication,733944,1281823,88.0,15
2026-08-28,Tricon,North America,Pipe,340896,584039,94.2,13
2026-08-28,Tricon,India,Wear plate,491840,811242,94.8,39
2026-08-28,Tricon,India,Fabrication,491840,976789,95.8,9
2026-08-28,Tricon,India,Pipe,325420,570475,88.4,12
2026-08-28,CFI Corporate,North America,Services,465340,912876,88.3,10
2026-09-04,Con Forms,North America,Concrete forms,454720,846002,97.7,38
2026-09-04,Con Forms,North America,Formwork rental,315840,680377,92.5,40
2026-09-04,Con Forms,North America,Accessories,664160,1316650,97.4,39
2026-09-04,Con Forms,Europe,Concrete forms,349440,817070,96.9,18
2026-09-04,Con Forms,Europe,Formwork rental,683200,1337721,92.2,31
2026-09-04,Con Forms,Europe,Accessories,454720,842497,94.7,33
2026-09-04,Tricon,North America,Wear plate,303800,537772,91.0,13
2026-09-04,Tricon,North America,Fabrication,807800,1392289,95.2,29
2026-09-04,Tricon,North America,Pipe,354200,638440,89.4,35
2026-09-04,Tricon,India,Wear plate,327040,718619,88.9,37
2026-09-04,Tricon,India,Fabrication,294560,704557,96.3,16
2026-09-04,Tricon,India,Pipe,605920,1178646,93.2,27
2026-09-04,CFI Corporate,North America,Services,442400,777117,91.2,29
2026-09-11,Con Forms,North America,Concrete forms,223020,417132,92.6,7
2026-09-11,Con Forms,North America,Formwork rental,443680,827551,94.2,38
2026-09-11,Con Forms,North America,Accessories,250160,422840,97.2,20
2026-09-11,Con Forms,Europe,Concrete forms,274940,458393,90.7,17
2026-09-11,Con Forms,Europe,Formwork rental,375240,827262,96.2,22
2026-09-11,Con Forms,Europe,Accessories,456660,785224,97.2,37
2026-09-11,Tricon,North America,Wear plate,825291,1536395,90.8,17
2026-09-11,Tricon,North America,Fabrication,608997,1410578,90.7,7
2026-09-11,Tricon,North America,Pipe,773135,1291796,90.6,20
2026-09-11,Tricon,India,Wear plate,252520,457455,89.2,6
2026-09-11,Tricon,India,Fabrication,416540,997798,92.2,23
2026-09-11,Tricon,India,Pipe,587640,1000974,93.3,21
2026-09-11,CFI Corporate,North America,Services,278480,661493,90.6,17
